Лог сопоставления главы 01 (прямой построчный режим)
Китайских строк: 63, русских строк: 63
Проблем найдено: 0
======================================================================

#1
  ZH [3.85 - 11.0]  如果没有你
  RU [1.39 - 3.31]  Если бы не было тебя

#2
  ZH [11.85 - 16.0]  1. 黄晓明是个小偷
  RU [4.8 - 6.57]  Хуан Сяомин — вор

#3
  ZH [16.5 - 22.0]  一个钱包把黄晓明带进了一件大事情里。
  RU [8.11 - 11.52]  Один кошелёк втянул Хуан Сяомина в серьёзное дело.

#4
  ZH [22.6 - 26.0]  2007年8月29号那天,
  RU [13.19 - 17.67]  В тот день, 29 августа 2007 года,

#5
  ZH [26.95 - 32.0]  黄晓明吃了早饭就来到北京火车站。
  RU [18.72 - 23.39]  После завтрака Хуан Сяомин пришёл на Пекинский железнодорожный вокзал.

#6
  ZH [32.2 - 34.0]  他拿着一瓶水,
  RU [24.84 - 27.44]  Он держал в руке бутылку воды,

#7
  ZH [34.3 - 38.11]  在火车站的大门前从东到西,
  RU [29.28 - 32.8]  перед главным входом на вокзал ходил с востока на запад,

#8
  ZH [38.3 - 42.0]  从西到东慢慢地走着。
  RU [34.6 - 38.11]  а затем медленно возвращался с запада на восток.

#9
  ZH [42.45 - 45.0]  黄晓明今年16岁,
  RU [39.35 - 42.75]  Хуан Сяомину в этом году шестнадцать лет,

#10
  ZH [45.37 - 48.28]  开始偷东西已经两年了。
  RU [43.59 - 46.69]  он начал воровать два года назад.

#11
  ZH [48.77 - 50.0]  他长得很高,
  RU [48.33 - 50.46]  Он был очень высоким,

#12
  ZH [50.3 - 53.0]  穿的衣服也很新。
  RU [52.01 - 55.02]  и одежда на нём была совсем новая.

#13
  ZH [53.0 - 57.0]  这个很不错的大男孩看起来很快乐。
  RU [56.38 - 59.76]  Этот симпатичный парень выглядел очень счастливым.

#14
  ZH [57.35 - 59.18]  不知道他是小偷的人,
  RU [61.79 - 64.37]  Люди, не знавшие, что он вор,

#15
  ZH [59.27 - 64.0]  一定以为他是在这里等着接什么人。
  RU [66.31 - 69.71]  наверняка думали, что он кого-то здесь встречает.

#16
  ZH [64.4 - 68.51]  9点,从北边开来的火车到了。
  RU [71.73 - 74.45]  В девять часов прибыл поезд с севера.

#17
  ZH [68.94 - 71.39]  很多到北京旅行的人
  RU [76.27 - 79.33]  Многие люди, приехавшие в Пекин,

#18
  ZH [71.48 - 76.0]  拿着大包小包从火车上走下来。
  RU [81.1 - 84.28]  сходили с поезда с большими и маленькими сумками.

#19
  ZH [76.6 - 79.0]  火车站的大门前边,
  RU [86.33 - 88.48]  Перед главным входом на вокзал,

#20
  ZH [79.0 - 81.45]  人一下子多起来。
  RU [90.56 - 92.8]  вдруг стало очень много людей.

#21
  ZH [81.68 - 85.0]  黄晓明知道偷东西,
  RU [95.04 - 97.9]  Хуан Сяомин знал, что для кражи

#22
  ZH [85.1 - 89.0]  这个大门前边是个好地方。
  RU [100.03 - 103.35]  место перед этим входом подходит как нельзя лучше.

#23
  ZH [89.3 - 93.0]  黄晓明的眼睛跟上了一个男人。
  RU [105.61 - 108.51]  Хуан Сяомин приметил одного мужчину.

#24
  ZH [93.7 - 96.0]  这是个四十多岁的人,
  RU [110.76 - 113.32]  Это был мужчина лет сорока с лишним,

#25
  ZH [96.5 - 98.0]  他长得很白,
  RU [115.52 - 118.23]  у него была очень светлая кожа,

#26
  ZH [98.15 - 100.0]  穿着很贵的衣服,
  RU [119.87 - 122.44]  на нём была дорогая одежда,

#27
  ZH [100.4 - 104.0]  还拿着一个很漂亮的大黑包。
  RU [124.54 - 128.18]  и в руках он держал красивую большую чёрную сумку.

#28
  ZH [104.85 - 106.19]  看见这个包,
  RU [130.43 - 132.28]  Увидев эту сумку,

#29
  ZH [106.4 - 110.0]  黄晓明的眼睛一下子大了。
  RU [134.4 - 136.94]  Хуан Сяомин сразу оживился.

#30
  ZH [110.85 - 112.0]  两年前,
  RU [138.45 - 139.85]  Два года назад,

#31
  ZH [112.15 - 115.91]  黄晓明刚开始学偷东西的时候,
  RU [141.97 - 145.13]  когда Хуан Сяомин только начал учиться воровать,

#32
  ZH [115.97 - 121.0]  就是先学着认识中国和外国的包,
  RU [147.2 - 151.74]  сначала он учился различать сумки китайского и иностранного производства,

#33
  ZH [121.0 - 125.0]  然后再想办法打开它们。
  RU [154.05 - 156.56]  а потом находить способы их открыть.

#34
  ZH [125.42 - 128.54]  现在他已经能很容易地
  RU [158.97 - 161.21]  Теперь он уже без труда

#35
  ZH [128.63 - 131.0]  打开一百多种包了。
  RU [163.09 - 165.75]  может открыть больше ста видов сумок.

#36
  ZH [131.65 - 133.0]  黄晓明知道,
  RU [167.89 - 169.65]  Хуан Сяомин знал,

#37
  ZH [133.35 - 136.0]  这个男人的包很不错,
  RU [171.92 - 175.13]  что сумка этого мужчины была очень дорогой,

#38
  ZH [136.05 - 140.0]  只有在很有名的大商店里才能买到。
  RU [177.16 - 181.1]  и такую можно купить только в известных крупных магазинах.

#39
  ZH [140.7 - 143.0]  买这种包要很多钱,
  RU [183.09 - 185.81]  Такая сумка стоит больших денег,

#40
  ZH [143.4 - 148.47]  所以这个男人一定是个很有钱的人。
  RU [187.08 - 190.08]  поэтому мужчина наверняка был очень богат.

#41
  ZH [148.77 - 153.0]  黄晓明打算偷这个有钱的男人。
  RU [192.36 - 195.45]  Хуан Сяомин решил обокрасть этого богача.

#42
  ZH [153.78 - 159.0]  黄晓明只偷那些看起来特别有钱的人,
  RU [197.56 - 201.8]  Хуан Сяомин воровал только у тех, кто выглядел особенно богатым,

#43
  ZH [159.27 - 163.0]  因为那些人的钱好像特别多。
  RU [204.08 - 208.51]  потому что, казалось, у таких людей было особенно много денег.

#44
  ZH [163.4 - 165.17]  偷了他们的钱包,
  RU [210.44 - 212.9]  Когда он крал у них кошельки,

#45
  ZH [165.35 - 168.0]  他们好像一点儿事儿都没有。
  RU [214.44 - 218.48]  они, казалось, совершенно ничего не замечали.

#46
  ZH [168.75 - 173.0]  他不知道那些人的钱为什么那么多,
  RU [220.31 - 224.21]  Он не понимал, почему у этих людей так много денег,

#47
  ZH [173.25 - 176.19]  所以偷那些有钱人的钱,
  RU [226.16 - 228.67]  поэтому, воруя у богатых,

#48
  ZH [176.45 - 180.28]  黄晓明一点都不觉得对不起他们,
  RU [230.72 - 234.64]  Хуан Сяомин нисколько не чувствовал себя виноватым перед ними,

#49
  ZH [180.48 - 183.73]  更不觉得有什么错。
  RU [236.55 - 240.51]  и тем более не считал, что делает что-то неправильное.

#50
  ZH [183.95 - 186.38]  黄晓明很会偷东西,
  RU [242.14 - 245.43]  Хуан Сяомин был очень искусен в воровстве,

#51
  ZH [186.65 - 191.0]  每次偷人钱包的时候都做得很“干净”。
  RU [247.59 - 253.09]  и каждый раз, когда крал чей-нибудь кошелёк, делал это очень «чисто».

#52
  ZH [191.65 - 195.0]  现在,他在火车站前边
  RU [255.32 - 258.06]  Теперь, стоя перед вокзалом,

#53
  ZH [195.15 - 200.0]  准备偷那个刚下火车的特别有钱的男人。
  RU [259.91 - 266.07]  он собирался обокрасть того очень богатого мужчину, который только что сошёл с поезда.

#54
  ZH [200.3 - 202.0]  他一点也不紧张,
  RU [268.26 - 270.28]  Он совершенно не нервничал,

#55
  ZH [202.3 - 204.33]  眼睛看着别的地方,
  RU [272.38 - 274.55]  смотрел в другую сторону,

#56
  ZH [204.38 - 208.0]  慢慢地往那男人旁边走去。
  RU [276.72 - 279.05]  и медленно направился к мужчине.

#57
  ZH [208.85 - 213.0]  黄晓明从他身体旁边很快地走过去,
  RU [281.56 - 284.43]  Хуан Сяомин быстро прошёл мимо него,

#58
  ZH [213.0 - 216.0]  那个男人没觉得有什么事,
  RU [286.42 - 289.07]  а мужчина ничего не заметил,

#59
  ZH [216.05 - 223.0]  可是包里的钱包已经让黄晓明拿走了。
  RU [291.0 - 294.92]  но кошелёк из его сумки Хуан Сяомин уже успел забрать.

#60
  ZH [223.14 - 227.0]  但是黄晓明怎么也没想到,
  RU [296.6 - 300.01]  Но Хуан Сяомин никак не мог предположить,

#61
  ZH [227.17 - 233.0]  就是这个钱包把他带进了一件大事情里。
  RU [302.37 - 306.27]  что именно этот кошелёк втянет его в серьёзное дело.

#62
  ZH [233.0 - 235.0]  黄晓明更没想到,
  RU [308.4 - 311.36]  Ещё меньше он мог предположить,

#63
  ZH [235.3 - 242.0]  这件事被一个叫小三儿的小偷看在眼睛里。
  RU [313.35 - 317.24]  что за этой кражей наблюдал другой вор по имени Сяо Саньэр.
