Лог сопоставления главы 02 (прямой построчный режим)
Китайских строк: 52, русских строк: 52
Проблем найдено: 0
======================================================================

#1
  ZH [2.03 - 6.0]  2.一只眼睛的小三儿
  RU [1.46 - 3.68]  Маленький Саньэр с одним глазом.

#2
  ZH [6.28 - 10.0]  黄小明不喜欢这个小三儿
  RU [5.44 - 8.03]  Хуан Сяомин не любит этого Саньэра.

#3
  ZH [10.0 - 18.0]  小三儿长得很黑,眼睛很小,快十八岁了,还没有黄小明高。
  RU [9.52 - 18.72]  Саньэр выглядит очень смуглым, глаза у него очень маленькие, ему почти восемнадцать лет, а ростом он всё ещё не такой высокий, как Хуан Сяомин.

#4
  ZH [18.0 - 26.0]  黄小明常常想,就是叫小三儿再长十年,他也不会有自己这么高。
  RU [20.32 - 28.07]  Хуан Сяомин часто думает: даже если дать Саньэру вырасти ещё десять лет, он всё равно не будет таким высоким, как он сам.

#5
  ZH [26.94 - 37.0]  小三儿只有一只眼睛看得见,那只看不见的眼睛是去年偷东西的时候被人打坏的。
  RU [29.57 - 38.56]  Саньэр только одним глазом может видеть, тот глаз, который не видит, в прошлом году, когда он крал вещи, ему кто-то избил и повредил.

#6
  ZH [37.0 - 43.0]  黄小明不喜欢小三儿,因为他谁的东西都偷。
  RU [40.01 - 44.84]  Хуан Сяомин не любит Саньэра, потому что он крадёт вещи у кого угодно.

#7
  ZH [43.07 - 53.99]  黄小明看见他偷过一个老人,那个老人穿的衣服很旧,一看就知道老人生活得很不容易。
  RU [46.56 - 57.65]  Хуан Сяомин видел, как он украл у одного старика, одежда, которую тот старик носил, была очень старой, сразу по виду было понятно, что старику живётся очень нелегко.

#8
  ZH [54.27 - 65.0]  黄小明还看见他偷一个在火车站工作的女服务员,那个服务员有四十多岁,工作很重,也很累。
  RU [59.24 - 70.99]  Хуан Сяомин ещё видел, как он украл у одной женщины-служащей, работавшей на железнодорожном вокзале, той служащей было больше сорока лет, работа была очень тяжёлой и очень утомительной.

#9
  ZH [65.6 - 78.0]  小三儿知道这样的人钱来得很不容易,可是他还是偷了她的钱包,所以黄小明很不喜欢小三儿。
  RU [72.1 - 81.71]  Саньэр знает, что таким людям деньги достаются очень нелегко, но он всё равно украл у неё кошелёк, поэтому Хуан Сяомин очень не любит Саньэра.

#10
  ZH [78.42 - 86.36]  虽然小三儿只有一只不大的眼睛,但是他这只眼睛还挺好用,
  RU [82.83 - 89.13]  Хотя у Саньэра только один небольшой глаз, но этот его глаз всё-таки довольно хорошо работает,

#11
  ZH [86.36 - 94.0]  现在他用这只小眼睛看见黄小明拿走了那个男人的钱包。
  RU [90.92 - 97.01]  Сейчас он этим маленьким глазом увидел, как Хуан Сяомин забрал кошелёк того мужчины.

#12
  ZH [94.95 - 106.46]  这时候,从中国的西边开来的火车叫着进站了,又有很多人拿着行李走出了火车站的大门。
  RU [98.18 - 108.77]  В это время поезд, приехавший с запада Китая, с гудком вошёл на станцию, и ещё много людей, держа багаж, вышли из больших ворот железнодорожного вокзала.

#13
  ZH [106.53 - 116.96]  一个女孩搬着一个白颜色的包走出来,可能是那个包太大,太重,那个女孩走得很慢,
  RU [109.99 - 119.71]  Одна девушка, неся белую сумку, вышла, возможно, та сумка была слишком большой, слишком тяжёлой, поэтому девушка шла очень медленно,

#14
  ZH [116.96 - 123.0]  她走一会儿,站一会儿,然后往别的地方看一看,
  RU [121.33 - 125.99]  Она немного шла, немного стояла, потом смотрела в другие места,

#15
  ZH [123.0 - 126.0]  再走一会儿,站一会儿。
  RU [127.88 - 131.16]  Потом ещё немного шла, немного стояла.

#16
  ZH [126.25 - 137.39]  这个女孩很漂亮吗?不,和很多电影、电视里的姑娘比,她不是特别漂亮,不过一看见她,
  RU [132.78 - 143.66]  Эта девушка очень красивая? Нет, если сравнивать со многими девушками из кино и телевидения, она не особенно красивая, однако, как только увидел её,

#17
  ZH [137.46 - 143.95]  黄小明就觉得自己有点儿紧张,脸也一下子热起来,
  RU [145.4 - 151.08]  Хуан Сяомин сразу почувствовал, что немного нервничает, и лицо тоже вдруг стало горячим,

#18
  ZH [144.04 - 149.0]  他觉得这是他看见过的最好看的女孩。
  RU [153.05 - 158.76]  Он почувствовал, что это самая красивая девушка из тех, которых он когда-либо видел.

#19
  ZH [150.01 - 159.89]  这个女孩长得很高,一双眼睛黑黑的,大大的,白白的脸有一点儿红,就像苹果一样,
  RU [160.7 - 170.22]  Эта девушка была очень высокой, пара глаз — чёрные-чёрные, большие-большие, на белом-белом лице было немного красного, прямо как яблоко,

#20
  ZH [160.12 - 167.46]  她穿着很好看的衣服,颜色是白的,这件衣服不贵,
  RU [171.55 - 176.92]  На ней была очень красивая одежда, цвет был белый, эта одежда была недорогой,

#21
  ZH [167.46 - 175.0]  但是穿在她身上很可爱,叫人觉得她从里到外都那么干净。
  RU [179.24 - 186.36]  Но на ней она выглядела очень мило, заставляя человека чувствовать, что она от внутреннего до внешнего вся такая чистая.

#22
  ZH [175.36 - 181.4]  这种干净是电影、电视里那些漂亮的姑娘没有的,
  RU [188.54 - 192.8]  Такой чистоты нет у тех красивых девушек из кино и телевидения,

#23
  ZH [181.4 - 191.0]  这种干净是上过不少学、看过不少书的人才会有的,叫人一看就觉得特别舒服。
  RU [194.6 - 204.71]  Такую чистоту имеют только люди, которые учились довольно много и прочитали довольно много книг, от одного взгляда на неё человеку сразу становится особенно приятно.

#24
  ZH [191.22 - 200.0]  黄小明虽然没有上过几年学,也没有看过几本书,但是他特别喜欢这种干净。
  RU [207.0 - 213.96]  Хотя Хуан Сяомин учился всего несколько лет и также не прочитал много книг, ему особенно нравилась такая чистота.

#25
  ZH [200.54 - 208.53]  黄小明知道,从看见这个女孩的第一分钟开始就喜欢上了这个女孩,
  RU [216.16 - 222.99]  Хуан Сяомин знал: начиная с первой минуты, как он увидел эту девушку, он уже полюбил эту девушку,

#26
  ZH [208.98 - 214.0]  他觉得今天来这里就是来等她的。
  RU [225.0 - 229.04]  Он чувствовал, что сегодня пришёл сюда именно ждать её.

#27
  ZH [214.29 - 224.69]  她一定是第一次来北京,这里的东西她以前一定没有见过,也一定觉得很有意思,
  RU [231.0 - 238.5]  Она наверняка впервые приехала в Пекин, вещи здесь она раньше наверняка не видела и наверняка считает их очень интересными,

#28
  ZH [225.04 - 231.0]  因为她站在那里,看看这儿,看看那儿,好像很高兴。
  RU [240.43 - 246.51]  Потому что она стояла там, смотрела сюда, смотрела туда, как будто была очень рада.

#29
  ZH [231.62 - 244.28]  黄小明想,再过一个星期暑假就完了,大学就开始上课了,所以最近北京火车站的人特别多,
  RU [248.6 - 259.69]  Хуан Сяомин подумал: ещё через одну неделю летние каникулы закончатся, в университете начнутся занятия, поэтому в последнее время на пекинском железнодорожном вокзале особенно много людей,

#30
  ZH [244.62 - 249.74]  好多爸爸妈妈坐火车送孩子来上大学,她应
  RU [261.18 - 267.85]  Многие папы и мамы едут на поезде, чтобы привезти детей учиться в университет, она, долж-

#31
  ZH [249.74 - 257.16]  该也是来上大学的,可是为什么她只有一个人呢?
  RU [269.84 - 274.72]  на быть, тоже приехала учиться в университет, но почему же она только одна?

#32
  ZH [258.04 - 269.26]  这时候,一只眼睛的小三儿也看见那个女孩了,他很快地往她那里走去,坏了,
  RU [276.77 - 283.49]  В это время Саньэр с одним глазом тоже увидел ту девушку, он быстро пошёл в её сторону, плохо дело,

#33
  ZH [269.39 - 274.5]  小三儿走到她旁边,找机会偷走了她的钱包。
  RU [284.76 - 289.75]  Саньэр подошёл к ней, нашёл возможность и украл её кошелёк.

#34
  ZH [275.34 - 283.54]  有小偷,小偷偷了我的钱包,谁能帮帮我?小三儿刚从那个女孩身边走过,
  RU [291.71 - 299.07]  Есть вор, вор украл мой кошелёк, кто может мне помочь? Саньэр только что прошёл мимо той девушки,

#35
  ZH [283.54 - 291.56]  那个女孩就觉得有什么地方不对,钱包没了,她就马上大叫起来。
  RU [301.0 - 307.16]  Та девушка сразу почувствовала, что что-то не так, кошелька не стало, и она сразу громко закричала.

#36
  ZH [292.73 - 301.0]  小三儿做的事黄小明都看见了,他很不高兴,飞一样地往小三儿那儿跑去。
