Лог сопоставления главы 03 (прямой построчный режим)
Китайских строк: 70, русских строк: 70
Проблем найдено: 0
======================================================================

#1
  ZH [3.35 - 8.0]  3.我觉得你特别像警察。
  RU [0.67 - 4.66]  Мне кажется, ты очень похож на полицейского.

#2
  ZH [9.35 - 16.0]  看见黄晓明帮助自己把钱包要回来,那个女孩高兴极了。
  RU [6.04 - 12.1]  Увидев, что Хуан Сяомин помог ей вернуть кошелёк, девушка была очень счастлива.

#3
  ZH [16.55 - 23.0]  谢谢你。 她大大的黑眼睛一直看着黄晓明。
  RU [13.41 - 19.3]  Спасибо. Она своими большими чёрными глазами неотрывно смотрела на Хуан Сяомина.

#4
  ZH [23.57 - 27.65]  你跑得真快,请问你是警察吗?
  RU [20.67 - 25.16]  Ты так быстро бегаешь. Скажи, ты полицейский?

#5
  ZH [27.89 - 32.47]  黄晓明一下子不知道怎么说才好,
  RU [26.61 - 30.01]  Хуан Сяомин вдруг не знал, что ответить,

#6
  ZH [32.95 - 41.32]  就红着脸半开玩笑地说,警察,啊,不,不,我不是警察。
  RU [31.43 - 39.4]  поэтому, покраснев, полушутя сказал: «Полицейский? А, нет, нет, я не полицейский».

#7
  ZH [41.7 - 45.68]  那你是做什么的? 女孩又问。
  RU [40.11 - 45.35]  Тогда чем ты занимаешься? — снова спросила девушка.

#8
  ZH [45.85 - 51.44]  可以说我是喜欢给警察找一点小麻烦的人。
  RU [46.66 - 53.27]  Можно сказать, что я человек, который любит иногда доставлять полиции небольшие неприятности.

#9
  ZH [52.05 - 56.57]  说完黄晓明笑了。 你真有意思。
  RU [54.73 - 59.3]  Сказав это, Хуан Сяомин рассмеялся. «Ты забавный».

#10
  ZH [57.1 - 60.58]  那个女孩也愉快地笑起来。
  RU [61.26 - 63.88]  Девушка тоже весело рассмеялась.

#11
  ZH [60.83 - 65.0]  黄晓明觉得她笑得好看极了。
  RU [65.04 - 69.68]  Хуан Сяомину её улыбка показалась невероятно красивой.

#12
  ZH [66.35 - 74.08]  看着他们两人像好朋友一样在一起,小三站在旁边很不高兴。
  RU [70.94 - 78.94]  Глядя, как они вдвоём общаются, словно хорошие друзья, Сяо Саньэр стоял рядом и был очень недоволен.

#13
  ZH [74.45 - 82.0]  我叫夏宇,是来北京明天音乐大学学习的,你贵姓? 那个女孩问。
  RU [80.35 - 91.16]  Меня зовут Ся Юй. Я приехала в Пекин, чтобы завтра поступить в музыкальный университет. А как ваша фамилия? — спросила девушка.

#14
  ZH [82.05 - 87.0]  我姓黄,叫黄晓明,欢迎来北京。
  RU [92.11 - 98.69]  Моя фамилия Хуан, меня зовут Хуан Сяомин. Добро пожаловать в Пекин.

#15
  ZH [87.45 - 91.0]  听他这样说,夏宇又笑了。
  RU [99.92 - 103.71]  Услышав это, Ся Юй снова улыбнулась.

