Лог сопоставления главы 04 (прямой построчный режим)
Китайских строк: 33, русских строк: 33
Проблем найдено: 0
======================================================================

#1
  ZH [9.24 - 25.35]  第二天,黄小明起床后吃了点东西,又习惯地来到北京火车站,看看表才八点,
  RU [1.47 - 12.85]  На следующий день Хуан Сиамин после того, как встал, немного поел и снова по привычке пришел на Пекинский железнодорожный вокзал. Посмотрел на часы. Только восемь часов.

#2
  ZH [25.58 - 29.42]  时间还早,火车站外边的路上人不多,但是出站的门那里站着很多人,
  RU [14.57 - 21.88]  Время еще раннее, на дороге снаружи железнодорожного вокзала людей немного. Но у выхода из вокзала стоит много людей.

#3
  ZH [29.8 - 34.8]  他们不像在排队,好像在看什么东西。
  RU [23.46 - 28.36]  Они не похожи на тех, кто стоит в очереди, как будто они на что-то смотрят.

#4
  ZH [34.82 - 45.25]  黄小明走近那些人,他看见门旁边有一张大纸,纸上写着一些字,虽然是汉字,
  RU [30.24 - 41.8]  Хуан Сиамин подошел ближе к тем людям. Он увидел рядом с дверью большой лист бумаги. На бумаге было написано несколько знаков. Хотя это были китайские иероглифы.

#5
  ZH [45.28 - 53.8]  但是因为他只上到小学三年级,所以那些字认识得少,不认识得多。
  RU [43.57 - 51.27]  Но поскольку он учился только до третьего класса начальной школы, поэтому знакомых ему знаков было мало, а незнакомых много.

#6
  ZH [54.33 - 64.16]  啊,真有意思,一个男人对一个女人说:昨天上午,小偷偷走了一个人的钱包,
  RU [53.05 - 61.03]  А, действительно, интересно. Один мужчина сказал одной женщине. Вчера утром вор украл у одного человека кошелек.

#7
  ZH [64.23 - 70.92]  现在这个人要用一万块钱买回那个钱包,要是有人告诉他
  RU [62.71 - 69.67]  Сейчас этот человек хочет за 10 000 юаней выкупить обратно тот кошелек. Если кто-нибудь скажет ему.

#8
  ZH [70.95 - 75.81]  那钱包是谁偷走的,也可以得到五千块钱。
  RU [71.5 - 75.78]  Кто украл тот кошелек, тоже может получить 5000 юаней.

#9
  ZH [76.19 - 85.7]  那个钱包里一定有什么好东西,所以他才要用这么多钱买回来。女人很快地说:
  RU [77.46 - 86.17]  В том кошельке наверняка есть что-то хорошее, поэтому он и хочет за такие большие деньги купить его обратно. Женщина быстро сказала.

#10
  ZH [85.99 - 92.26]  黄小明想,这个钱包应该不是自己昨天偷的那个,
  RU [87.82 - 93.66]  Хуан Сиамин подумал, этот кошелек должно быть не тот, который я вчера сам украл.

#11
  ZH [92.33 - 98.97]  因为昨天他在这里偷的那个钱包里面一共只有两千多块钱,
  RU [95.42 - 101.86]  Потому что в том кошельке, который он вчера здесь украл, всего было только больше 2000 юаней.

#12
  ZH [99.04 - 105.7]  谁会拿一万块钱买回只有两千多块钱的钱包呢?有病吗?
  RU [103.92 - 111.94]  Кто станет за 10000 юаней покупать обратно кошелек, в котором только больше 2000 юаней? Больной, что ли?

#13
  ZH [105.89 - 114.88]  这样想着,他慢慢地走开了。可是,刚走了一会儿,黄小明就看见一个人,
  RU [113.89 - 121.03]  Думая так, он медленно отошел. Но только немного пройдя, Хуан Сиамин увидел одного человека.

#14
  ZH [114.97 - 117.7]  一只眼睛的小三。
  RU [123.15 - 125.03]  Сиасань с одним глазом.

#15
  ZH [117.93 - 124.43]  啊,在小三的旁边是昨天自己偷的那个特别有钱的人,
  RU [126.75 - 133.07]  А рядом с Сиасанем был тот очень богатый человек, у которого он вчера сам украл кошелек.

#16
  ZH [124.48 - 131.79]  那个人手里拿着一个很贵的手机,他的眼睛往北看看,往南看看,往东看看,
  RU [135.25 - 143.49]  У того человека в руке был очень дорогой телефон. Его глаза посмотрели на север, посмотрели на юг, посмотрели на восток.

#17
  ZH [131.88 - 135.2]  再往西看看。
  RU [145.61 - 147.77]  Затем еще посмотрели на запад.

#18
  ZH [135.29 - 148.84]  好像在找什么人?在他旁边还站着两个穿黑颜色衣服的高大的男人。
  RU [149.79 - 157.35]  Как будто он кого-то ищет. Рядом с ним еще стояли два высоких мужчины, одетых в черную одежду.

#19
  ZH [148.9 - 152.11]  就是他!小三一看见黄小明,就对那个特别有钱的人说。
  RU [159.77 - 166.41]  Именно он. Как только Сиасань увидел Хуан Сиомина, он сказал тому очень богатому человеку.

#20
  ZH [152.18 - 156.7]  那个人马上对他旁边两个高大的男人说:
  RU [167.94 - 171.99]  Тот человек сразу сказал двум высоким мужчинам рядом с ним.

#21
  ZH [156.8 - 163.68]  "快,别让他跑了!"还马上打开手机,想给黄小明照相。
  RU [174.37 - 181.5]  Быстро, не дай ему убежать. И сразу открыл телефон, хотел сфотографировать Хуан Сиомина.

#22
  ZH [163.74 - 167.2]  不好,黄小明飞一样地跑了。
  RU [183.87 - 187.26]  Плохо дело, Хуан Сиямин побежал как летящий.

#23
  ZH [167.25 - 176.7]  那两个高大的男人听了有钱人的话,很快地往黄小明这边跑。黄小明跑得非常快。
  RU [189.54 - 197.96]  Два высоких мужчины, услышав слова богача, быстро побежали в сторону Хуан Сионина. Хуан Сиамин бежал очень быстро.

#24
  ZH [176.9 - 183.2]  "你跑不了了!"那两个高大的男人在后边跑着大叫。
  RU [199.92 - 206.92]  Тебе уже не убежать. Два высоких мужчины, бегущие сзади, громко кричали.

#25
  ZH [183.46 - 193.22]  黄小明非常清楚,他应该往西跑,因为那里有很多路,也有很多公共汽车。
  RU [208.86 - 216.22]  Хуан Сиямин очень ясно понимал, ему следует бежать на запад, потому что там много дорог, а также много автобусов.

#26
  ZH [193.3 - 199.7]  他跑得快急了,那两个高大的男人慢慢地离他远了。
  RU [218.54 - 223.38]  Он бежал очень быстро, а два высоких мужчины постепенно удалялись от него.

#27
  ZH [200.07 - 208.86]  他到的时间非常合适,路旁边有公共汽车,人们已经上去了,快要关门了。
  RU [225.15 - 232.38]  Он прибежал очень вовремя, у дороги был автобус, люди уже зашли, и двери вот-вот должны были закрыться.

#28
  ZH [208.95 - 214.69]  黄小明叫着:"等等我,等等我!"一下子跑了上去。
  RU [234.72 - 241.19]  Хуан Сиамин кричал «Подождите меня, подождите меня» и сразу забежал наверх.

#29
  ZH [215.55 - 220.7]  公共汽车带着累得要死的黄小明开走了。
  RU [243.45 - 247.09]  Автобус увез совершенно измученного Хуан Сиомина.

#30
  ZH [221.25 - 228.7]  那两个高大的男人没有上来,只能看着公共汽车走远了。
  RU [248.67 - 255.11]  Два высоких мужчины не успели зайти, им оставалось только смотреть, как автобус уезжает все дальше.

#31
  ZH [230.2 - 238.37]  休息了一会儿,黄小明觉得不那么累了,他看了看公共汽车,笑起来。
  RU [257.41 - 265.37]  Отдохнув некоторое время, Хуан Сиямин почувствовал, что уже не так устал. Он посмотрел на автобус и засмеялся.

#32
  ZH [238.51 - 247.09]  "这是到那家音乐大学的车啊!""很好!"这时候黄小明很想见到夏宇,
  RU [267.47 - 277.28]  Это автобус до того музыкального университета. Очень хорошо. В этот момент Хуан Сиамин очень хотел увидеть Ся Юя.

#33
  ZH [247.14 - 251.7]  他觉得他们好像好久不见了。
  RU [279.18 - 283.04]  Ему казалось, что они как будто уже очень давно не виделись.
