Лог сопоставления главы 07 (прямой построчный режим)
Китайских строк: 100, русских строк: 100
Проблем найдено: 0
======================================================================

#1
  ZH [2.37 - 4.78]  七.我是小偷...
  RU [1.43 - 3.58]  Семь. Я — вор...

#2
  ZH [4.8 - 11.68]  看着夏宇脸上快乐地笑,黄小明也高兴起来,
  RU [4.93 - 10.32]  Глядя на счастливую улыбку на лице Ся Юй, Хуан Сяомин тоже стал радоваться.

#3
  ZH [11.8 - 14.0]  他现在更喜欢夏宇了。
  RU [11.79 - 14.01]  Он теперь ещё больше любит Ся Юй.

#4
  ZH [14.0 - 19.0]  他也第一次知道喜欢上一个女孩子有多好。
  RU [15.8 - 20.61]  Он также впервые узнал, насколько хорошо — полюбить одну девочку,

#5
  ZH [19.0 - 24.0]  你喜欢上她,她的快乐就是你的快乐了。
  RU [22.16 - 25.96]  ты полюбил её, и её счастье становится твоим счастьем.

#6
  ZH [25.37 - 30.0]  在这么大的快乐里,黄小明把什么都忘了。
  RU [27.28 - 30.96]  В таком большом счастье Хуан Сяомин всё забыл.

#7
  ZH [30.0 - 36.11]  忘了时间,忘了天气热,忘了应该对夏宇说什么,
  RU [31.72 - 38.06]  Забыл время, забыл, что погода жаркая, забыл, что следует сказать Ся Юй,

#8
  ZH [36.11 - 40.0]  也忘了那两个穿黑衣服的男人。
  RU [39.72 - 43.85]  и также забыл тех двух мужчин, одетых в чёрную одежду...

#9
  ZH [40.0 - 44.84]  对了,黄小明,你知道书店在哪儿吗?
  RU [45.14 - 50.1]  Кстати, Хуан Сяомин, ты знаешь, где находится книжный магазин?

#10
  ZH [44.93 - 50.62]  我要买一本英汉词典,就是上面有英文也有中文的那种,
  RU [51.8 - 58.5]  Я хочу купить один англо-китайский словарь, именно такой, где сверху есть английский и есть китайский,

#11
  ZH [50.62 - 53.39]  上英文课的时候用。
  RU [60.6 - 63.24]  использовать во время урока английского.

#12
  ZH [53.62 - 59.64]  黄小明不知道什么叫英汉词典,他没见过这样的词典,
  RU [65.36 - 71.28]  Хуан Сяомин не знал, что называется англо-китайским словарём, он не видел такого словаря.

#13
  ZH [59.77 - 66.96]  但是他知道书店就在火车站西边不远的地方,他常常去那里。
  RU [73.24 - 80.12]  Но он знал, что книжный магазин находится недалеко на запад от железнодорожного вокзала, он часто ходил туда,

#14
  ZH [67.05 - 72.0]  两天以前,他还在那里偷过一个非常有钱的女人。
  RU [82.2 - 86.27]  два дня назад он ещё там украл у одной очень богатой женщины.

#15
  ZH [72.0 - 80.42]  那个女人非常年轻,长得很好看,开的汽车特别贵,车里带着一只小狗,
  RU [88.32 - 97.72]  Та женщина была очень молодой, выглядела очень хорошо, машина, которую она водила, была особенно дорогой, в машине с ней была маленькая собака,

#16
  ZH [80.45 - 83.06]  还带着家里的女服务员。
  RU [99.8 - 102.48]  ещё с ней была домашняя служанка,

#17
  ZH [83.15 - 87.28]  就跟外国电影里有钱的女人差不多。
  RU [104.36 - 107.4]  прямо как богатые женщины в иностранных фильмах.

#18
  ZH [87.31 - 93.44]  他先到书店旁边的商店买了很多衬衫裤子,都是很贵的,
  RU [109.46 - 116.4]  Она сначала пришла в магазин рядом с книжным магазином и купила много рубашек, брюк, всё было очень дорогим,

#19
  ZH [93.44 - 101.17]  叫走在后边的女服务员拿着,又到旁边的商店买了一大包水果和酒,
