Лог сопоставления главы 10 (прямой построчный режим)
Китайских строк: 40, русских строк: 40
Проблем найдено: 0
======================================================================

#1
  ZH [11.19 - 14.21]  10.如果没有你
  RU [1.38 - 3.16]  Если бы не ты

#2
  ZH [15.65 - 24.35]  刚跑到警察那里，就看见警察正准备开车出来，可能就是要去找他吧，
  RU [5.2 - 13.76]  Только добежал до полицейских, как увидел, что полицейские как раз собираются выехать на машине, наверное, как раз собирались идти искать его,

#3
  ZH [24.38 - 28.84]  因为他看见夏雨就坐在警察的车里。
  RU [15.68 - 20.08]  Потому что он увидел, что Ся Юй как раз сидит в полицейской машине.

#4
  ZH [29.01 - 32.51]  他马上大叫：“夏雨，我来了！”
  RU [22.36 - 26.26]  Он сразу громко закричал: «Ся Юй, я пришёл!»

#5
  ZH [33.07 - 42.18]  在警察那儿，黄小明拿出光盘，跟警察很快、很清楚地谈了这两天的事情，
  RU [28.74 - 35.6]  У полицейских Хуан Сяомин достал диск и быстро, очень ясно рассказал полицейским о событиях этих двух дней,

#6
  ZH [42.4 - 50.73]  说完，他有点不好意思地问：“警察先生，我是不是来晚了？”
  RU [37.53 - 44.02]  Закончив говорить, он немного смущённо спросил: «Господин полицейский, я ведь не слишком поздно пришёл?»

#7
  ZH [50.73 - 56.72]  一个老警察很客气地对黄小明和夏雨说：
  RU [46.53 - 51.11]  Один старый полицейский очень вежливо сказал Хуан Сяомину и Ся Юй:

#8
  ZH [58.24 - 68.02]  “没关系，不晚，不晚。你们先喝点儿水。”老警察看过光盘以后很高兴，说：
  RU [53.57 - 65.37]  «Ничего страшного, не поздно, не поздно. Вы сначала выпейте немного воды». После того как старый полицейский посмотрел диск, он очень обрадовался и сказал:

#9
  ZH [68.56 - 74.58]  “五天以前，我们已经知道有人在卖国家的工程，
  RU [67.37 - 72.46]  «Пять дней назад мы уже узнали, что кто-то продаёт государственные проекты,

#10
  ZH [74.61 - 78.0]  我们正在找这些人做坏事的证据。
  RU [74.14 - 79.11]  Мы как раз ищем доказательства того, что эти люди делают плохие дела.

#11
  ZH [78.27 - 84.57]  现在，你们送来了这光盘，真是太好了！有了这个证据，
  RU [81.45 - 88.08]  Сейчас вы принесли этот диск, это действительно очень хорошо! Имея это доказательство,

#12
  ZH [84.6 - 92.0]  这些坏人一个都跑不了！我现在就叫人把他们都抓起来。
  RU [90.83 - 98.35]  Ни один из этих плохих людей не сможет убежать! Я сейчас же позову людей, чтобы всех их схватить.

#13
  ZH [92.29 - 100.01]  要是没有这些证据，要找到这些坏人很难，要用很多时间……知道吗，
  RU [100.73 - 108.48]  Если бы не было этих доказательств, найти этих плохих людей было бы очень трудно, понадобилось бы много времени… понимаете,

#14
  ZH [100.17 - 104.0]  你们做了一件非常大的好事。”
  RU [110.73 - 113.72]  Вы сделали одно очень большое хорошее дело».

#15
  ZH [104.64 - 111.16]  他又对黄小明说：“年轻人，你能从这个大门走进来，
  RU [116.75 - 122.54]  Он снова сказал Хуан Сяомину: «Молодой человек, ты смог войти через эти большие ворота,

#16
  ZH [111.19 - 115.0]  告诉我们你是小偷，这很不容易啊。”
  RU [125.12 - 128.59]  сказать нам, что ты вор, — это очень нелегко».

#17
  ZH [115.37 - 119.0]  黄小明看了看夏雨：
  RU [131.44 - 133.95]  Хуан Сяомин посмотрел на Ся Юй:

#18
  ZH [119.4 - 126.0]  “如果没有夏雨，我可能不会这样快就走进这个大门……”
  RU [136.31 - 141.48]  «Если бы не Ся Юй, возможно, я бы не смог так быстро войти через эти ворота…»

#19
  ZH [126.3 - 135.71]  老警察说：“这两年你都在做小偷，偷别的人的东西，这很不对，
  RU [144.05 - 151.28]  Старый полицейский сказал: «Эти два года ты всё время был вором, крал вещи других людей, это очень неправильно,

#20
  ZH [135.73 - 142.0]  但是，我知道从今天开始你一定会做一个好人！
  RU [153.87 - 159.52]  Но я знаю, что начиная с сегодняшнего дня ты обязательно станешь хорошим человеком!

#21
  ZH [142.35 - 149.0]  你的问题我们也要很好地想办法，一定要叫你进学校学习。”
  RU [161.61 - 168.24]  С твоей проблемой мы тоже должны хорошо придумать способ, обязательно нужно дать тебе войти в школу учиться».

#22
  ZH [149.8 - 156.0]  黄小明听了很高兴，他想了想，对老警察说：
  RU [170.88 - 176.95]  Хуан Сяомин, услышав это, очень обрадовался, подумал и сказал старому полицейскому:

#23
  ZH [156.56 - 163.84]  “你要把我送进孤儿院吗？没有爸爸妈妈的孩子要是都能住到孤儿院里，
  RU [179.39 - 187.55]  «Ты собираешься отправить меня в детский дом? Если бы все дети, у которых нет папы и мамы, могли жить в детском доме,

#24
  ZH [163.87 - 169.93]  有阿姨的爱，有衣服穿，有热的饭吃，可以上学校学习，
  RU [190.41 - 197.93]  имели любовь тёти, имели одежду, которую можно носить, имели горячую еду, могли ходить в школу учиться,

#25
  ZH [169.96 - 175.66]  可以做自己能做的工作，那该多好啊……”老警察说：
  RU [199.88 - 207.94]  могли делать работу, которую сами могут делать, как же это было бы хорошо…» Старый полицейский сказал:

#26
  ZH [175.73 - 185.0]  “明天，把你知道的没有爸爸妈妈的孩子都带到我这里，让我来帮助他们。”
  RU [209.94 - 215.93]  «Завтра приведи сюда всех детей без папы и мамы, которых ты знаешь, позволь мне помочь им».

#27
  ZH [185.48 - 193.98]  这次，黄小明更高兴了，他没有想到，昨天他还是小偷，还偷了一个钱包，
